OBJECTID,ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Length,经度,纬度
108,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009054,30.5553947
109,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009156,30.55539231
110,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009257,30.55538992
111,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009359,30.55538752
112,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009461,30.55538513
113,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009562,30.55538273
114,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009664,30.55538034
115,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009766,30.55537794
116,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009867,30.55537555
117,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3009969,30.55537315
118,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010071,30.55537076
119,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010172,30.55536837
120,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010274,30.55536597
121,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010375,30.55536358
122,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010477,30.55536118
123,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010579,30.55535879
124,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301068,30.55535639
125,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010782,30.555354
126,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010884,30.5553516
127,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3010985,30.55534921
128,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3011087,30.55534681
129,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3011189,30.55534442
130,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301129,30.55534203
131,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3011392,30.55533963
132,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3011494,30.55533724
133,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3011595,30.55533484
134,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3011697,30.55533245
135,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3011799,30.55533005
136,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.30119,30.55532766
137,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012002,30.55532526
138,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012104,30.55532287
139,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012205,30.55532047
140,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012307,30.55531808
141,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012409,30.55531569
142,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301251,30.55531329
143,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012612,30.5553109
144,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012713,30.5553085
145,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012815,30.55530611
146,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3012917,30.55530371
147,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013018,30.55530132
148,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301312,30.55529892
